slug,name,company_url,category_slug,category_name,category_label,rating_value,rating_label,rating_stars,review_count,photo_url
courir,Courir,https://beledci.az/courir,apparel-store,Geyim mağazaları,Geyim mağazası,0.0,Yoxdur,0,0,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_6138743bec3bb.webp
go-sport,GO Sport,https://beledci.az/go-sport,apparel-store,Geyim mağazaları,Geyim mağazası,0.0,Yoxdur,0,0,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_61387431875ce.webp
zara,ZARA,https://beledci.az/zara,apparel-store,Geyim mağazaları,Geyim mağazası,1.0,Aşağı,1,8,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/up_6783fbd388579.webp
azerbaycan-beynelxalq-banki,ABB,https://beledci.az/azerbaycan-beynelxalq-banki,bank,Banklar,Bank,1.0,Aşağı,1,16,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/up_666aa56243b7e.webp
azpulmat,Azpulmat,https://beledci.az/azpulmat,bank,Banklar,Bank,1.0,Aşağı,1,1,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/up_687d2580b812f.webp
bank-respublika,Bank Respublika,https://beledci.az/bank-respublika,bank,Banklar,Bank,2.0,Aşağı,2,8,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_6138734eab0c4.webp
bank-of-baku,Bank of Baku,https://beledci.az/bank-of-baku,bank,Banklar,Bank,1.5,Aşağı,1,7,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/up_666aa587c46b1.webp
birbank,Birbank - Birkart,https://beledci.az/birbank,bank,Banklar,Bank,2.0,Aşağı,2,8,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_6316722de786e.webp
express-bank,Express Bank,https://beledci.az/express-bank,bank,Banklar,Bank,1.0,Aşağı,1,3,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/up_66786a136d8eb.webp
kapital-bank,Kapital Bank,https://beledci.az/kapital-bank,bank,Banklar,Bank,1.0,Aşağı,1,52,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_6138732d5f518.webp
leobank,Leobank,https://beledci.az/leobank,bank,Banklar,Bank,1.5,Aşağı,1,121,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_624d902b43211.webp
manato-az,Manato.az,https://beledci.az/manato-az,bank,Banklar,Bank,0.0,Yoxdur,0,1,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/up_68bad3ee88adf.webp
rabitabank,Rabitəbank,https://beledci.az/rabitabank,bank,Banklar,Bank,1.5,Aşağı,1,20,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_61e2c1d12e99e.webp
unibank,Unibank,https://beledci.az/unibank,bank,Banklar,Bank,1.0,Aşağı,1,10,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_6138733dc8b18.webp
yelobank,Yelo Bank,https://beledci.az/yelobank,bank,Banklar,Bank,1.5,Aşağı,1,7,https://beledci.s3.us-east-1.amazonaws.com/resources/company/photo/ca_627172c2931ed.webp
